project_id,deployment_id,subproject_name,subproject_design,placename,longitude,latitude,start_date,end_date,event_name,event_description,event_type,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,recorded_by,plot_treatment,plot_treatment_description,detection_distance
2004409,S02_T02_2026,Site_02,,S02_T02,151.73984,-32.23923,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T02,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T04_2026,Site_02,,S02_T04,151.73988,-32.23922,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T04,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T06_2026,Site_02,,S02_T06,151.74024,-32.23905,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T06,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T08_2026,Site_02,,S02_T08,151.74025,-32.23915,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T08,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T10_2026,Site_02,,S02_T10,151.74042,-32.23906,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T10,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T12_2026,Site_02,,S02_T12,151.74059,-32.23903,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T12,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T14_2026,Site_02,,S02_T14,151.7401,-32.24032,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T14,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T16_2026,Site_02,,S02_T16,151.74034,-32.23961,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T16,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T18_2026,Site_02,,S02_T18,151.74034,-32.23961,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T18,1,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T20_2026,Site_02,,S02_T20,151.74035,-32.23957,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T20,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T22_2026,Site_02,,S02_T22,151.74022,-32.23971,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T22,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S02_T24_2026,Site_02,,S02_T24,151.74002,-32.23982,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S02_T24,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S03_T02_2026,Site_03,,S03_T02,151.740918,-32.242923,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S03_T02,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S03_T04_2026,Site_03,,S03_T04,151.740513,-32.242913,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S03_T04,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S03_T06_2026,Site_03,,S03_T06,151.740242,-32.24293,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S03_T06,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S03_T08_2026,Site_03,,S03_T08,151.740178,-32.242953,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S03_T08,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S03_T10_2026,Site_03,,S03_T10,151.740102,-32.2429,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S03_T10,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S03_T12_2026,Site_03,,S03_T12,151.739842,-32.24298,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S03_T12,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S03_T14_2026,Site_03,,S03_T14,151.7399,-32.24241,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S03_T14,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S03_T16_2026,Site_03,,S03_T16,151.73995,-32.24241,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S03_T16,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
2004409,S03_T18_2026,Site_03,,S03_T18,151.74008,-32.24231,2026-07-27,2026-07-30,None,,None,Other,Universal mammal bait,None,,S03_T18,0,Camera Functioning,Knee height,,Parallel,Generally pointing 45 degrees downwards,,,Forestry compartment,regrowth native Eucalypt forest
